Date,Close,High,Low,Open,Volume
2016-07-11,1.2767629623413086,1.2860894749936664,1.264491068856462,1.2659637007559814,448776000
2016-07-12,1.295906662940979,1.3076875974940547,1.2747989845263232,1.2909979304577464,436760000
2016-07-13,1.2954163551330566,1.3057247804227072,1.293452884565233,1.2983616195015282,324604000
2016-07-14,1.3086700439453125,1.3204511024651562,1.2914895286596786,1.3022887932917078,316892000
2016-07-15,1.2934527397155762,1.2993432677928578,1.2723451701499293,1.2919801076962558,428616000
2016-07-18,1.300079584121704,1.3113696854251284,1.2951708495129746,1.3094062149883294,252992000
2016-07-19,1.313578486442566,1.3187326394198784,1.296888697758742,1.299343123195622,382652000
2016-07-20,1.330759048461914,1.337876788880746,1.3125967442451014,1.3179963165707886,296460000
2016-07-21,1.3062150478363037,1.3319859242453098,1.3017971532147372,1.32781344870826,361308000
2016-07-22,1.3418035507202148,1.3418035507202148,1.3013064710834628,1.3108785187279164,315768000
2016-07-25,1.3665927648544312,1.3697834477017234,1.3440125657864317,1.3499030932071086,312528000
2016-07-26,1.3899095058441162,1.3970271298072015,1.3766559345840483,1.378619404949714,514508000
2016-07-27,1.3759198188781738,1.4043905541531252,1.367574980479235,1.4019361279592408,446676000
2016-07-28,1.3788644075393677,1.3891727116199044,1.3746919318686217,1.3791098266317483,221916000
2016-07-29,1.401444673538208,1.4051261941773645,1.3592295446400253,1.384018629728273,409588000
2016-08-01,1.392363429069519,1.4124893165877912,1.3832823372548524,1.4073351644172893,301120000
2016-08-02,1.3754286766052246,1.39972692879621,1.362175105779861,1.3989905542873249,282748000
2016-08-03,1.379109501838684,1.381809345285883,1.366101356738649,1.3737099319776838,299828000
2016-08-04,1.4046351909637451,1.411016555073154,1.3830367908422014,1.3857365177115086,272712000
2016-08-05,1.4284430742263794,1.4291793317004091,1.4139622906026892,1.4208344951607912,371588000
2016-08-08,1.4416965246200562,1.4515139923212617,1.426479367759775,1.4480778903291844,305064000
2016-08-09,1.4453779458999634,1.4593678890727781,1.4416964250247,1.4488140476546676,372344000
2016-08-10,1.4360511302947998,1.4603493755706438,1.431387816510536,1.458140486739539,375740000
2016-08-11,1.4652583599090576,1.4713943063115746,1.4407146913324336,1.4436599549683171,681064000
2016-08-12,1.547234058380127,1.5555788925910665,1.4880838446015543,1.5192542926061714,1425744000
2016-08-15,1.5457613468170166,1.5585240750791955,1.5248992038525637,1.5489520288825613,573304000
2016-08-16,1.5364352464675903,1.5460071781834523,1.531771931664071,1.543552869727281,287652000
2016-08-17,1.5008468627929688,1.539871434427449,1.4888205049166008,1.536435332177058,595212000
2016-08-18,1.5241628885269165,1.5266171962350235,1.4927469072225716,1.4986374329754897,331684000
2016-08-19,1.528090238571167,1.5396257570779792,1.5168001391978163,1.5234269239350609,291560000
2016-08-22,1.5344719886779785,1.5366809954995488,1.514591629484689,1.5327539372797983,244748000
2016-08-23,1.5468887090682983,1.5569701376266545,1.5424626731466697,1.5500852710257371,339764000
2016-08-24,1.5230379104614258,1.553036451504819,1.5159071702682834,1.5522988372430986,298448000
2016-08-25,1.5129563808441162,1.5242672862026445,1.4940229929444264,1.5235296719886433,406032000
2016-08-26,1.5252505540847778,1.5338566376036025,1.5048417077411715,1.5168903419166202,300024000
2016-08-29,1.5242669582366943,1.5375449492247466,1.5218081274699524,1.5313978136833446,274652000
2016-08-30,1.5154155492782593,1.5304147623814448,1.511235383045009,1.5223004186044247,285544000
2016-08-31,1.508284568786621,1.5225461664107034,1.5038586487215588,1.5183661177660193,388544000
2016-09-01,1.5527904033660889,1.55844579714304,1.5082843983317973,1.50951387254387,428492000
2016-09-02,1.5375453233718872,1.557708303361296,1.5200872806573953,1.5559870862310063,323148000
2016-09-06,1.552052617073059,1.552052617073059,1.5350863190928616,1.5429547896232105,306812000
2016-09-07,1.5291849374771118,1.5547574373984063,1.520332981407723,1.5471348382489951,397988000
2016-09-08,1.5402500629425049,1.54270901142826,1.5102516418106435,1.527709683613212,315808000
2016-09-09,1.4635326862335205,1.531889860035744,1.4507464354145263,1.5232837747726204,697760000
2016-09-12,1.4937771558761597,1.4967278475298356,1.409437158562436,1.444107609619431,598260000
2016-09-13,1.47213876247406,1.5073009520107883,1.4637785486626762,1.4900886643409152,471768000
2016-09-14,1.4851707220077515,1.4900885011965546,1.4632866456547649,1.47558103500222,319048000
2016-09-15,1.5414793491363525,1.5432005659667585,1.4841870992481314,1.4876296501580462,515212000
2016-09-16,1.5451676845550537,1.5552491143670055,1.527463655916187,1.5468889014193112,902444000
2016-09-19,1.5655765533447266,1.6046729162375801,1.554265649267285,1.5613963881914759,417128000
